교차로번호,입력일자,교차로명,유형코드,연동교차로코드,구코드,지번,구경찰서코드,신경찰서코드,작업구분,표출구분,고객번호,계약종별,계량기번호,도로구분,관할사업소,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드,공사형태,지도표출구분,RN_CDE,MNG_AGEN,XCE,YCE
4600,-,여성발전센타(경보),001,0,540,산139-2임,-,260,001,002,-,-,-,002,105,82-0000001733,,-,1733,10300,-,N,-,-,191640.546771487,540366.465203899
4601,-,백산초교(경보),001,0,540,1001-2도,260,260,001,002,-,-,-,002,105,82-0000003942,,-,3942,10300,-,N,-,-,191539.340562853,538642.088315777
4602,-,동일여고(연등),002,0,540,230-104도,260,260,001,002,-,-,-,001,105,82-0000004870,,2054742    ,4870,10300,-,N,-,-,192569.323214338,538969.180567529
4603,-,토끼굴입구(경보),001,0,540,1010-16공,260,260,001,002,-,-,-,001,105,82-0000001526,,-,1526,10300,-,N,-,-,193013.806030605,539008.718392882
4604,-,수경약국(경보),001,0,650,963-26 도,380,380,001,002,-,-,-,002,105,82-0000000806,,-,806,10100,-,N,-,-,199223.113305228,542723.108045164
4605,-,방배초교(경보),001,0,650,868-23도,380,380,001,002,-,-,-,002,105,82-0000001527,,-,1527,10100,-,N,-,-,198924.029843995,543025.752213585
4606,-,방배제일은행(경보),001,0,650,758-3도,380,380,001,001,-,-,-,001,105,82-0000002035,,-,2035,10100,-,N,-,-,199030.499949986,543957.576912089
4607,-,방배4동성당,001,0,650,612-33대,380,380,001,002,-,-,-,002,105,82-0000002036,,3194412    ,2036,10100,-,N,-,-,199421.642215228,543808.307866706
4608,-,서울카쎈타(경보),002,0,650,389-1천,380,380,001,002,-,-,-,002,105,82-0000001528,,-,1528,10100,-,N,-,-,198800.8129969,543309.341966759
4609,-,방일초교(경보),002,0,650,167-4학,340,380,001,002,-,-,-,002,105,82-0000002165,,-,2165,10100,-,N,-,-,199825.696664163,542943.641390835
4610,-,이수초교(경보),001,0,650,468-6학,380,380,001,002,-,-,-,002,105,82-0000000807,,-,807,10100,-,N,-,-,198697.998882677,542147.439720192
