edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-268782329#1,5.0,4.0,5.0,22.15
-268782331,4.0,3.0,4.0,22.28
-268782333#0,0.0,0.0,0.0,0.0
-268782333#1,10.0,10.0,10.0,57.34
-268782334#0,0.0,0.0,0.0,0.0
-268782334#1,12.0,10.0,12.0,63.53
-268783056#1,53.0,52.0,53.0,65.71
-270279684#0,0.0,0.0,0.0,0.0
-270279684#1,4.0,4.0,4.0,20.06
-270279686#0,1.0,2.0,2.0,13.55
-270279686#1,2.0,2.0,2.0,4.81
-272228144#0,2.0,1.0,2.0,9.3
-272228144#1,1.0,0.0,1.0,5.37
-272228144#2,0.0,0.0,0.0,0.0
-272228144#3,2.0,0.0,2.0,4.93
-272228338,2.0,1.0,2.0,8.04
-272228339#0,2.0,1.0,2.0,7.71
-272228339#1,5.0,3.0,5.0,12.32
-272228339#2,4.0,5.0,5.0,4.02
-272228339#3,4.0,4.0,4.0,5.4
-272228340,3.0,2.0,3.0,28.72
-272228440#2,4.0,8.0,8.0,51.88
-272228442,0.0,0.0,0.0,0.0
-272228567,0.0,0.0,0.0,0.0
-272228670#1,0.0,0.0,0.0,0.0
-272229587#1,9.0,9.0,9.0,58.33
-272229587#2,12.0,11.0,12.0,29.69
-272229587#3,12.0,12.0,12.0,15.94
-272229587#5,11.0,14.0,14.0,51.86
-272229587#7,17.0,17.0,17.0,48.0
-272229587#8,17.0,17.0,17.0,139.71
-272229587#9,4.0,4.0,4.0,10.95
-272229588#0,5.0,3.0,5.0,28.69
-272229588#1,2.0,2.0,2.0,3.92
-272229589,1.0,1.0,1.0,7.42
-272231354,5.0,4.0,5.0,24.25
-272231356,5.0,5.0,5.0,15.97
-272231357#1,3.0,1.0,3.0,15.59
-272231357#2,4.0,4.0,4.0,19.97
-272232099#1,0.0,1.0,1.0,7.78
-272263605#1,0.0,0.0,0.0,0.0
-272263605#2,4.0,2.0,4.0,20.11
-272263606,2.0,0.0,2.0,43.87
-273028084#11,3.0,2.0,3.0,23.1
-273028084#5,0.0,0.0,0.0,0.0
-273028084#8,6.0,5.0,6.0,50.87
-273028084#9,7.0,7.0,7.0,20.84
-273638833#5,0.0,0.0,0.0,0.0
-273638834#1,23.0,23.0,23.0,4314.11
-273638834#4,17.0,23.0,23.0,34985.44
-273638834#6,16.0,16.0,16.0,44.33
-273638834#9,16.0,16.0,16.0,71.93
-273639040#2,1.0,1.0,1.0,11.14
-273639055#1,13.0,13.0,13.0,65.54
-273639055#2,3.0,4.0,4.0,9.68
-273639055#5,1.0,3.0,3.0,24.41
-273639055#6,8.0,8.0,8.0,31.07
-273639056#2,0.0,13.0,13.0,122.64
-273639456,0.0,0.0,0.0,0.0
-273639501#1,14.0,14.0,14.0,41.16
-273639501#2,17.0,14.0,17.0,62.7
-273639766,0.0,0.0,0.0,0.0
-273640070#3,6.0,6.0,6.0,93.06
-273640076#1,1.0,1.0,1.0,19.91
-273640078#1,1.0,1.0,1.0,6.56
-273640078#4,1.0,1.0,1.0,18.32
-273647554#1,3.0,2.0,3.0,17.22
-273647554#4,0.0,0.0,0.0,0.0
-273647556#1,0.0,1.0,1.0,8.9
-273647557,0.0,0.0,0.0,0.0
-273647638#0,0.0,0.0,0.0,0.0
-273647638#2,0.0,0.0,0.0,0.0
-273648116#1,0.0,0.0,0.0,0.0
-273896133#2,0.0,0.0,0.0,0.0
-273896156#0,0.0,0.0,0.0,0.0
-273896156#2,0.0,0.0,0.0,0.0
-277257944#1,0.0,0.0,0.0,0.0
-277257944#3,0.0,0.0,0.0,0.0
-301285277#1,0.0,0.0,0.0,0.0
-301285279#0,1.0,3.0,3.0,65.35
-301285279#2,2.0,0.0,2.0,16.23
-315658884#5,28.0,27.0,28.0,434.03
-315658896#1,5.0,4.0,5.0,31.6
-315658896#2,2.0,1.0,2.0,3.82
-315658896#5,3.0,3.0,3.0,21.6
-315658896#6,2.0,2.0,2.0,12.47
-315658896#7,0.0,0.0,0.0,0.0
-315658897#1,0.0,0.0,0.0,0.0
-315658897#2,42.0,42.0,42.0,344.86
-315658897#5,2.0,2.0,2.0,26.7
-315658899#1,0.0,0.0,0.0,0.0
-315658900#2,0.0,0.0,0.0,0.0
-315658900#3,0.0,0.0,0.0,0.0
-315658900#5,1.0,0.0,1.0,9.67
-315658900#8,0.0,0.0,0.0,0.0
-318747848#2,39.0,17.0,39.0,192.96
-318747848#7,40.0,39.0,40.0,648.43
-318747850#0,1.0,1.0,1.0,7.91
-318747850#1,1.0,2.0,2.0,19.26
-318747850#2,1.0,1.0,1.0,3.51
-318747850#3,1.0,2.0,2.0,10.13
-322977445,0.0,1.0,1.0,7.82
-322977650,0.0,1.0,1.0,3.69
