edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-233651328#2,5.0,2.0,5.0,58.47
-233651333#5,1.0,1.0,1.0,11.31
-233651338#2,31.0,31.0,31.0,741.21
-233652295#2,6.0,0.0,6.0,19.49
-238535895#0,0.0,0.0,0.0,0.0
-238535896#2,1.0,0.0,1.0,6.05
-238536650#0,8.0,7.0,8.0,33.67
-238536650#1,4.0,8.0,8.0,38.71
-238536650#2,6.0,6.0,6.0,43.16
-239357573#19,9.0,0.0,9.0,84.21
-239357573#21,36.0,26.0,36.0,232.37
-243542153#3,16.0,17.0,17.0,253.82
-243542153#5,16.0,16.0,16.0,76.43
-243542153#6,9.0,18.0,18.0,66.07
-243542154#0,17.0,17.0,17.0,368.7
-243542154#1,12.0,12.0,12.0,43.51
-243542154#2,13.0,12.0,13.0,29.0
-243542154#3,16.0,17.0,17.0,17.42
-243542154#5,19.0,21.0,21.0,34.42
-243542154#7,6.0,8.0,8.0,60.52
-243542154#8,1.0,1.0,1.0,5.74
-243542154#9,0.0,0.0,0.0,0.0
-243542155#0,7.0,6.0,7.0,41.35
-243542155#1,6.0,6.0,6.0,33.46
-243542156#1,8.0,6.0,8.0,74.15
-243542157,0.0,0.0,0.0,0.0
-244215399,0.0,1.0,1.0,9.4
-244217578#0,2.0,2.0,2.0,11.43
-244217578#1,6.0,6.0,6.0,57.58
-244217578#3,6.0,6.0,6.0,31.36
-244221646#1,8.0,8.0,8.0,99.44
-244221646#2,4.0,5.0,5.0,12.5
-244384770#11,99.0,0.0,99.0,144.07
-244384770#15,228.0,179.0,228.0,3432.4
-268782232#0,15.0,15.0,15.0,55.82
-268782232#1,14.0,15.0,15.0,39.48
-268782232#2,15.0,14.0,15.0,57.17
-268782233#0,1.0,1.0,1.0,4.74
-268782233#2,5.0,3.0,5.0,9.93
-268782233#3,4.0,6.0,6.0,12.94
-268782233#4,15.0,15.0,15.0,180.85
-268782234#0,14.0,15.0,15.0,83.26
-268782234#1,1.0,1.0,1.0,6.92
-268782329#0,5.0,5.0,5.0,31.0
