edge_id,current_lanes,target_lanes_simple,weighted_majority_lanes,max_target_lanes,total_matched_length_m,max_match_ratio,edge_length_m,source_segment_ids,source_directions,source_row_count,min_axis_position,smoothing_applied,repair_reason
781985786#6,3,3,3,3,105.563636,0.5,44.3,S13 S14,downbound,2,0.0,False,edge_weighted_majority_lane_target
781985786#7,3,3,3,3,100.690909,1.0,34.13,S12 S13 S14,downbound,3,0.0,False,edge_weighted_majority_lane_target
781985792#3,2,3,3,3,103.316859,0.347826,27.62,S10 S9,downbound,2,0.0,False,edge_weighted_majority_lane_target
782892492#1,1,2,2,3,101.397516,0.714286,33.44,S10 S11,downbound,2,0.0,False,edge_weighted_majority_lane_target
783692390#1,1,2,2,2,9.207143,0.071429,12.6,S11,downbound,1,0.0,False,edge_weighted_majority_lane_target
785130598#8,2,2,2,2,114.221769,0.833333,63.84,S8 S9,downbound,2,0.0,False,edge_weighted_majority_lane_target
785130603,1,3,3,3,95.534541,0.194444,18.01,S6 S7,downbound,2,0.0,False,edge_weighted_majority_lane_target
619147739#4,2,3,3,3,112.255862,0.3,40.36,S18 S19,downbound,2,0.003116,False,edge_weighted_majority_lane_target
1455497343#0,2,3,3,3,96.672222,0.666667,46.87,S7 S8,downbound,2,0.044279,False,edge_weighted_majority_lane_target
785130598#0,2,2,2,3,85.637888,0.142857,12.93,S10 S9,downbound,2,0.05181,False,edge_weighted_majority_lane_target
273638834#2,1,2,2,3,66.499113,0.102041,48.11,S10 S9,downbound,2,0.053356,False,edge_weighted_majority_lane_target
781985786#3,3,3,3,3,164.443434,0.454545,100.9,S14 S15,downbound,2,0.057297,False,edge_weighted_majority_lane_target
785130598#1,2,3,2,3,85.881189,0.163265,3.78,S10 S9,downbound,2,0.069022,True,isolated_lane_gap_smoothing
174870621#2,2,3,3,3,141.709459,0.27027,64.96,S1 S2,downbound,2,0.069367,False,edge_weighted_majority_lane_target
781985779#0,2,3,3,3,102.11118,0.304348,21.79,S10 S11,downbound,2,0.070589,False,edge_weighted_majority_lane_target
-800229255,2,3,3,3,81.985714,0.3,10.09,S2 S3,downbound,2,0.079338,False,edge_weighted_majority_lane_target
578313749#0,3,3,3,3,54.3,0.3,8.99,S2,downbound,1,0.09239,False,edge_weighted_majority_lane_target
1206223943,2,2,2,2,42.928571,0.357143,0.2,S22,downbound,1,0.098599,False,edge_weighted_majority_lane_target
1109231377#1,1,2,2,2,82.692857,0.428571,7.48,S11 S12,downbound,2,0.104604,False,edge_weighted_majority_lane_target
781985786#8,3,2,2,3,114.35,0.5,47.37,S12 S13,downbound,2,0.135446,False,edge_weighted_majority_lane_target
1206223946#0,2,2,2,2,92.564286,0.5,5.79,S21 S22,downbound,2,0.144179,False,edge_weighted_majority_lane_target
