route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_008,20,117914343#0,381452104#0,1.735,normal
ER_ACC_008,21,381452104#0,381452104#1,7.1,normal
ER_ACC_008,22,381452104#1,381452104#2,12.681,normal
ER_ACC_008,23,381452104#2,-420187959#4,85.861,normal
ER_ACC_008,24,-420187959#4,-420187959#3,14.809,normal
ER_ACC_008,25,-420187959#3,-420187959#2,3.041,normal
ER_ACC_008,26,-420187959#2,-420187959#0,0.173,normal
ER_ACC_008,27,-420187959#0,-520307305#2,109.38,normal
ER_ACC_008,28,-520307305#2,-37928420#2,28.893,normal
ER_ACC_009,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_009,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_009,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_009,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_009,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_009,6,578313748#0,578313748#2,2.534,normal
ER_ACC_009,7,578313748#2,800229255,1.08,normal
ER_ACC_009,8,800229255,180368918#0,2.43,normal
ER_ACC_009,9,180368918#0,180368918#3,0.87,normal
ER_ACC_009,10,180368918#3,180368918#5,2.577,normal
ER_ACC_009,11,180368918#5,180368918#6,0.01,normal
ER_ACC_009,12,180368918#6,180368918#7,1.311,normal
ER_ACC_009,13,180368918#7,180368918#8,2.333,normal
ER_ACC_009,14,180368918#8,218773868#0,1.645,normal
ER_ACC_009,15,218773868#0,218773868#2,6.453,normal
ER_ACC_009,16,218773868#2,218773868#3,0.227,normal
ER_ACC_009,17,218773868#3,218773868#4,1.127,normal
ER_ACC_009,18,218773868#4,218773868#5,0.019,normal
ER_ACC_009,19,218773868#5,218773868#6,0.918,normal
ER_ACC_009,20,218773868#6,-1455512070,1.016,normal
ER_ACC_009,21,-1455512070,1455512071,96.687,normal
ER_ACC_009,22,1455512071,428260116#1,4.392,normal
ER_ACC_009,23,428260116#1,1455518728,1.228,normal
ER_ACC_009,24,1455518728,-198564928#28,88.916,normal
ER_ACC_009,25,-198564928#28,-198564928#27,0.901,normal
ER_ACC_009,26,-198564928#27,-198564928#26,0.747,normal
ER_ACC_009,27,-198564928#26,-198564928#25,0.0,normal
ER_ACC_009,28,-198564928#25,-198564928#24,0.0,normal
ER_ACC_009,29,-198564928#24,-198564928#23,3.996,normal
ER_ACC_009,30,-198564928#23,-198564928#22,1.301,normal
ER_ACC_009,31,-198564928#22,-198564928#21,2.052,normal
ER_ACC_009,32,-198564928#21,-198564928#20,1.281,normal
ER_ACC_009,33,-198564928#20,-198564928#18,0.018,normal
ER_ACC_009,34,-198564928#18,-198564928#17,0.578,normal
ER_ACC_009,35,-198564928#17,-198564928#16,1.715,normal
ER_ACC_009,36,-198564928#16,-198564928#15,8.064,normal
ER_ACC_009,37,-198564928#15,-198564928#14,1.593,normal
ER_ACC_009,38,-198564928#14,-198564928#13,0.009,normal
ER_ACC_009,39,-198564928#13,-198564928#12,0.005,normal
ER_ACC_009,40,-198564928#12,-117914848#7,100.58,normal
ER_ACC_009,41,-117914848#7,-117914848#6,0.33,normal
ER_ACC_009,42,-117914848#6,-117914848#5,1.488,normal
ER_ACC_009,43,-117914848#5,-117914848#4,5.454,normal
ER_ACC_009,44,-117914848#4,-117914848#3,0.949,normal
ER_ACC_009,45,-117914848#3,-420383159#2,89.325,normal
ER_ACC_009,46,-420383159#2,-420383159#1,118.341,normal
ER_ACC_010,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_010,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_010,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_010,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_010,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_010,6,578313748#0,578313748#2,2.534,normal
ER_ACC_010,7,578313748#2,800229255,1.08,normal
ER_ACC_010,8,800229255,180368918#0,2.43,normal
ER_ACC_010,9,180368918#0,180368918#3,0.87,normal
ER_ACC_010,10,180368918#3,180368918#5,2.577,normal
ER_ACC_010,11,180368918#5,180368918#6,0.01,normal
ER_ACC_010,12,180368918#6,180368918#7,1.311,normal
ER_ACC_010,13,180368918#7,180368918#8,2.333,normal
ER_ACC_010,14,180368918#8,218773868#0,1.645,normal
ER_ACC_010,15,218773868#0,218773868#2,6.453,normal
ER_ACC_010,16,218773868#2,218773868#3,0.227,normal
ER_ACC_010,17,218773868#3,218773868#4,1.127,normal
ER_ACC_010,18,218773868#4,218773868#5,0.019,normal
ER_ACC_010,19,218773868#5,218773868#6,0.918,normal
ER_ACC_010,20,218773868#6,-1455512070,1.016,normal
ER_ACC_010,21,-1455512070,1455512071,96.687,normal
